,province,nowConfirm,confirm,heal,dead
0,台湾,2261,16853,13742,850
1,浙江,512,2001,1488,1
2,内蒙古,334,1185,850,1
3,陕西,259,968,706,3
4,广西,226,555,327,2
5,香港,151,12550,12186,213
6,上海,123,2996,2866,7
7,云南,100,1790,1688,2
8,广东,85,3408,3315,8
9,河南,38,1640,1580,22
10,四川,29,1302,1270,3
11,福建,29,1346,1316,1
12,山东,28,1037,1002,7
13,天津,21,545,521,3
14,北京,16,1205,1180,9
15,辽宁,15,792,775,2
16,黑龙江,15,2035,2007,13
17,甘肃,10,354,342,2
18,吉林,8,589,578,3
19,江苏,6,1624,1618,0
20,湖南,4,1203,1195,4
21,重庆,2,610,602,6
22,湖北,1,68316,63803,4512
23,安徽,1,1009,1002,6
24,澳门,0,77,77,0
25,海南,0,190,184,6
26,青海,0,30,30,0
27,西藏,0,1,1,0
28,新疆,0,981,978,3
29,山西,0,265,265,0
30,河北,0,1458,1451,7
31,宁夏,0,122,122,0
32,江西,0,959,958,1
33,贵州,0,159,157,2
