,country,nowConfirm,confirm,dead,heal
0,美国,8187367,39668541,654696,30826478
1,西班牙,489616,4831809,84000,4258193
2,哥伦比亚,177312,3635835,93473,3365050
3,法国,2166003,2405255,57671,181581
4,秘鲁,230663,2149591,198263,1720665
5,英国,90011,104145,13759,375
6,意大利,73880,97689,10779,13030
7,德国,54158,63929,560,9211
8,伊朗,27052,44606,2898,14656
9,加拿大,26661,44526,2386,15479
10,瑞士,13391,15526,312,1823
11,奥地利,5080,14476,410,8986
12,比利时,9859,11899,513,1527
13,荷兰,10697,11814,864,253
14,韩国,3979,9976,169,5828
15,土耳其,8981,9217,131,105
16,塞尔维亚,7259,8724,173,1292
17,葡萄牙,6225,6408,140,43
18,以色列,4193,4347,15,139
19,挪威,4251,4284,26,7
20,巴西,4114,4256,136,6
21,澳大利亚,3983,4245,18,244
22,瑞典,3574,3700,110,16
23,捷克,2790,2817,16,11
24,丹麦,2579,2724,72,73
25,马来西亚,2110,2626,37,479
26,爱尔兰,2564,2615,46,5
27,智利,2285,2449,8,156
28,卢森堡,1926,1988,22,40
29,罗马尼亚,1700,1952,46,206
30,厄瓜多尔,1863,1924,58,3
31,波兰,1872,1905,26,7
32,俄罗斯,1761,1836,9,66
33,日本本土,1300,1724,52,372
34,巴基斯坦,1576,1625,20,29
35,菲律宾,1426,1546,78,42
36,泰国,1388,1524,9,127
37,沙特阿拉伯,1330,1453,8,115
38,印度尼西亚,1217,1414,122,75
39,南非,1247,1280,2,31
40,芬兰,1219,1240,11,10
41,希腊,1066,1156,38,52
42,印度,943,1071,29,99
43,冰岛,883,1020,2,135
44,墨西哥,969,993,20,4
45,巴拿马,961,989,24,4
46,多米尼加,855,901,42,4
47,新加坡,648,879,3,228
48,阿根廷,668,820,80,72
49,克罗地亚,652,713,6,55
50,钻石号邮轮,98,712,11,603
51,斯洛文尼亚,665,684,9,10
52,爱沙尼亚,624,645,1,20
53,卡塔尔,585,634,1,48
54,阿联酋,545,611,5,61
55,埃及,437,609,40,132
56,新西兰,532,589,1,56
57,阿塞拜疆,547,584,5,32
58,伊拉克,362,547,42,143
59,摩洛哥,476,516,27,13
60,巴林,232,515,4,279
61,阿尔及利亚,448,511,31,32
62,亚美尼亚,448,481,3,30
63,乌克兰,463,480,11,6
64,立陶宛,452,460,7,1
65,匈牙利,398,447,15,34
66,黎巴嫩,403,446,11,32
67,拉脱维亚,346,347,0,1
68,斯洛伐克,334,336,0,2
69,安道尔,322,334,6,6
70,波黑,310,324,6,8
71,保加利亚,306,313,3,4
72,突尼斯,302,312,8,2
73,乌拉圭,302,309,1,6
74,哈萨克斯坦,280,302,1,21
75,哥斯达黎加,290,295,2,3
76,科威特,194,266,0,72
77,北马其顿,250,259,6,3
78,约旦,238,259,3,18
79,摩尔多瓦,227,231,2,2
80,圣马力诺,196,224,22,6
81,布基纳法索,187,222,12,23
82,塞浦路斯,193,214,6,15
83,阿尔巴尼亚,169,212,10,33
84,越南,142,194,0,52
85,阿曼,150,179,0,29
86,科特迪瓦,160,165,1,4
87,塞内加尔,134,162,0,28
88,加纳,145,152,5,2
89,乌兹别克斯坦,140,149,2,7
90,马耳他,147,149,0,2
91,阿富汗,139,145,4,2
92,喀麦隆,131,142,6,5
93,洪都拉斯,135,139,1,3
94,文莱,88,127,1,38
95,斯里兰卡,110,122,1,11
96,委内瑞拉,78,119,2,39
97,古巴,112,119,3,4
98,尼日利亚,107,111,1,3
99,毛里求斯,105,107,2,0
100,巴勒斯坦,87,106,1,18
101,柬埔寨,82,103,0,21
102,格鲁吉亚,80,98,0,18
103,白俄罗斯,62,94,0,32
104,黑山,84,85,1,0
105,吉尔吉斯斯坦,84,84,0,0
106,刚果（金）,70,81,8,3
107,玻利维亚,81,81,0,0
108,卢旺达,70,70,0,0
109,巴拉圭,60,64,3,1
110,列支敦士登公国,56,56,0,0
111,肯尼亚,48,50,1,1
112,孟加拉,25,49,5,19
113,马达加斯加,43,43,0,0
114,摩纳哥,42,43,0,1
115,赞比亚,35,35,0,0
116,危地马拉,23,34,1,10
117,乌干达,33,33,0,0
118,多哥,22,30,1,7
119,圭亚那,21,28,1,6
120,马里,23,25,2,0
121,吉布提,25,25,0,0
122,埃塞俄比亚,21,23,0,2
123,缅甸,19,20,1,0
124,刚果（布）,19,19,0,0
125,坦桑尼亚,18,19,0,1
126,尼日尔,17,18,1,0
127,马尔代夫,6,17,0,11
128,几内亚,15,16,0,1
129,赤道几内亚,14,14,0,0
130,厄立特里亚,12,12,0,0
131,蒙古,12,12,0,0
132,纳米比亚,11,11,0,0
133,叙利亚,9,10,1,0
134,斯威士兰,9,9,0,0
135,海地,8,8,0,0
136,莫桑比克,8,8,0,0
137,苏里南,8,8,0,0
138,老挝,8,8,0,0
139,塞舌尔,8,8,0,0
140,津巴布韦,6,7,1,0
141,安哥拉,5,7,2,0
142,安提瓜和巴布达,7,7,0,0
143,加蓬,6,7,1,0
144,苏丹,5,6,1,0
145,中非共和国,6,6,0,0
146,梵蒂冈,6,6,0,0
147,贝宁,6,6,0,0
148,佛得角,5,6,1,0
149,尼泊尔,4,5,0,1
150,毛里塔尼亚,3,5,0,2
151,乍得,5,5,0,0
152,尼加拉瓜,3,4,1,0
153,冈比亚,3,4,1,0
154,不丹,4,4,0,0
155,利比里亚,3,3,0,0
156,索马里,3,3,0,0
157,几内亚比绍,2,2,0,0
158,伯利兹,2,2,0,0
159,东帝汶,1,1,0,0
160,巴布亚新几内亚,1,1,0,0
